Date,Date,Close,daily_risk_free_rate,new_rfr,signal,margin,margin_high_rfr,position,cash,cash_with_high_rfr,bank_account,bank_account_with_high_rfr,excess_return,theta,pnl,pnl_capital,pnl_total,cumulative_pnl,cumulative_pnl_capital,cumulative_pnl_total,turn_over_theta,cumulative_turn_over_theta,turn_over_units,Upper_bound,Lower_bound,pnl_150,pnl_capital_150,pnl_total_150,cumulative_pnl_150,cumulative_pnl_capital_150,cumulative_pnl_total_150
2016-06-27,2016-06-27,40.060001,1.6269841269841268e-05,2.4404761904761902e-05,1,917630.2267764953,907945.1449133031,229063.95503497252,6903912.66558616,6894276.28086321,5986282.438809664,5986331.135949907,-0.0246834627271143,9176302.267764954,152226.0198322395,97.39428048674017,152323.41411272623,717630.2267764953,5986282.438809664,6703912.66558616,15347495.744733144,534260240.3841605,386915.17179202515,9176302.267764954,-9176302.267764954,152175.81766308157,98.5827697198838,152274.40043280087,707945.1449133031,5986331.135949907,6694276.28086321
2016-06-28,2016-06-28,40.105,1.6269841269841268e-05,2.4404761904761902e-05,0,927777.1807354862,918017.534139445,228806.93848061227,6924464.832026656,6914753.967215058,5996687.651291169,5996736.433075613,0.0011232900368623837,9176302.267764954,10146.953958990867,10405.212481505238,20552.16644049622,727777.1807354862,5996687.651291169,6724464.832026656,0.0,534260240.3841605,257.01655436024885,9277771.807354862,-9277771.807354862,10072.389226141968,10405.29712570645,20477.686351848766,718017.534139445,5996736.433075613,6714753.967215058
2016-06-29,2016-06-29,39.825001,1.6269841269841268e-05,2.4404761904761902e-05,0,863562.1697865134,853727.8746998019,228806.93848061227,6860347.386233915,6850561.873725318,5996785.216447401,5996833.999025516,-0.00698164817354436,9112236.553797321,-64215.01094897278,97.56515623163432,-64117.44579274114,663562.1697865134,5996785.216447401,6660347.386233915,64065.7139676325,534324306.09812814,0.0,8635621.697865134,-8635621.697865134,-64289.65943964315,97.56594990286976,-64192.093489740044,653727.8746998019,5996833.999025516,6650561.873725318
2016-06-30,2016-06-30,39.91,1.1904761904761903e-05,1.7857142857142855e-05,0,881851.445623748,871965.8575022987,216377.39157767818,7374777.174781932,7364930.234567823,6492925.729158184,6492964.377065524,0.0021343125641100744,8635621.697865136,18289.27583723457,496140.5127107827,514429.7885480169,681851.445623748,6492925.729158184,7174777.174781932,476614.8559321854,534800920.9540603,12429.54690293409,8818514.45623748,-8818514.45623748,18237.982802496757,496130.37804000825,514368.36084250454,671965.8575022987,6492964.377065524,7164930.234567823
2016-07-01,2016-07-01,40.43,1.6269841269841268e-05,2.4404761904761902e-05,0,994227.1890498507,984271.350831256,216377.39157767818,7487258.557079025,7477355.538295926,6493031.368029173,6493084.187464669,0.01302931596091213,8748137.941485528,112375.74342610268,105.63887098990381,112481.38229709305,794227.1890498507,6493031.368029173,7287258.557079025,112516.24362039194,534913437.1976807,0.0,9942271.890498508,-9942271.890498508,112305.49332895735,119.81039914488792,112425.3037281027,784271.350831256,6493084.187464669,7277355.538295926
2016-07-05,2016-07-05,40.849998,1.5873015873015872e-05,2.3809523809523807e-05,0,1084966.4014252878,1074941.1335404909,216377.39157767818,7578100.8334444305,7568127.097554618,6493134.432019142,6493185.964014127,0.010388276032649014,8839016.01319337,90739.21237543714,103.06398996897042,90842.27636540588,884966.4014252878,6493134.432019142,7378100.8334444305,90878.07170784287,535004315.26938856,0.0,10849664.014252879,-10849664.014252879,90669.78270923486,101.7765494575724,90771.55925869197,874941.1335404909,6493185.964014127,7368127.097554618
2016-07-06,2016-07-06,40.959999,1.5873015873015872e-05,2.3809523809523807e-05,0,1108627.8290347457,1098532.410229209,216377.39157767818,7601865.326679793,7591821.440687209,6493237.4976450475,6493289.0304580005,0.002692803069415181,8862817.742644308,23661.427609457867,103.06562590505928,23764.493235362694,908627.8290347457,6493237.4976450475,7401865.326679793,23801.72945093736,535028116.9988395,0.0,11086278.290347457,-11086278.290347457,23591.276688718237,103.06644387356937,23694.343132591806,898532.4102292091,6493289.0304580005,7391821.440687209
2016-07-07,2016-07-07,40.950001,1.5873015873015872e-05,2.3809523809523807e-05,0,1106323.8082270427,1096158.0495981518,216377.39157767818,7599664.373133957,7589550.148136,6493340.564906915,6493392.098537848,-0.00024409180283434722,8860654.401483312,-2304.0208077030256,103.06726186722517,-2200.9535458358005,906323.8082270427,6493340.564906915,7399664.373133957,2163.3411609958857,535030280.3400005,0.0,11063238.082270427,-11063238.082270427,-2374.360631057294,103.06807984784245,-2271.292551209219,896158.0495981518,6493392.098537848,7389550.148136
2016-07-08,2016-07-08,41.185001,1.5873015873015872e-05,2.3809523809523807e-05,0,1157031.849939837,1146795.768656966,216377.39157767818,7650475.483744607,7640290.936910665,6493443.63380477,6493495.168253698,0.005738705598566394,8911503.088504067,50708.04171279422,103.0688978554681,50811.11061064992,957031.8499398369,6493443.63380477,7450475.483744607,50848.68702075444,535081129.0270213,0.0,11570318.49939837,-11570318.49939837,50637.719058814226,103.06971585005522,50740.788774664514,946795.768656966,6493495.168253698,7440290.936910665
2016-07-11,2016-07-11,40.869999,1.5873015873015872e-05,2.3809523809523807e-05,0,1088731.086408109,1078424.27891025,216377.39157767818,7582277.790746748,7572022.518515825,6493546.70433864,6493598.239605575,-0.007648464060981807,8843343.777402315,-68300.76353172795,103.07053386978805,-68197.69299785886,888731.0864081089,6493546.70433864,7382277.790746748,68159.3111017514,535149288.338123,0.0,10887310.864081088,-10887310.864081088,-68371.4897467161,103.07135187648237,-68268.41839483939,878424.2789102499,6493598.239605575,7372022.518515825
