Date,Today Price,Tomorrow Prediction,Cash,Bank Account,Position,Holding Value,Leverage,Leverage for Short,Leverage for Long,Losses,Leverage Factor,Transaction Cost,Status,Unused_Capital
2018-07-30,34.279999,34.41329722147183,174616.9984116617,0,45844.604187560086,174616.9984116617,1571552.9857049554,0.0,1571552.9857049554,Not Update,9.0,0,End of Day,174616.9984116617
2018-07-31,34.459999,34.2812766227627,174616.9984116617,0,45844.604187560086,174616.9984116617,1571552.9857049554,0.0,1571552.9857049554,Not Update,9.0,0,New Day Start,174616.9984116617
2018-07-31,34.459999,34.2812766227627,182869.0271654229,0,0.0,182869.0271654229,0.0,0.0,0.0,Not Update,9.0,0,Close Long Position,182869.0271654229
2018-07-31,34.459999,34.2812766227627,1828690.2716542291,0,-47760.33929916266,182869.0271654229,1645821.2444888062,1645821.2444888062,0.0,Not Update,9.0,0,Start Short Position,182869.0271654229
2018-07-31,34.459999,34.2812766227627,1828690.2716542291,0,-47760.33929916266,182869.0271654229,1645821.2444888062,1645821.2444888062,0.0,Not Update,9.0,0,End of Day,182869.0271654229
2018-08-01,34.119999,34.46787446417498,1828690.2716542291,0,-47760.33929916266,182869.0271654229,1645821.2444888062,1645821.2444888062,0.0,Not Update,9.0,0,New Day Start,182869.0271654229
2018-08-01,34.119999,34.46787446417498,199107.5425271385,0,0.0,199107.5425271385,0.0,0.0,0.0,Not Update,9.0,0,Close Short Position,199107.5425271385
2018-08-01,34.119999,34.46787446417498,199107.5425271385,0,52519.576062831846,199107.5425271385,1791967.8827442464,0.0,1791967.8827442464,Not Update,9.0,0,Start Long Position,199107.5425271385
2018-08-01,34.119999,34.46787446417498,199107.5425271385,0,52519.576062831846,199107.5425271385,1791967.8827442464,0.0,1791967.8827442464,Not Update,9.0,0,End of Day,199107.5425271385
2018-08-02,34.150002,34.130884424197035,199107.5425271385,0,52519.576062831846,199107.5425271385,1791967.8827442464,0.0,1791967.8827442464,Not Update,9.0,0,New Day Start,199107.5425271385
2018-08-02,34.150002,34.130884424197035,200683.28736775182,0,0.0,200683.28736775182,0.0,0.0,0.0,Not Update,9.0,0,Close Long Position,200683.28736775182
2018-08-02,34.150002,34.130884424197035,2006832.8736775182,0,-52888.71099655474,200683.28736775182,1806149.5863097664,1806149.5863097664,0.0,Not Update,9.0,0,Start Short Position,200683.28736775182
2018-08-02,34.150002,34.130884424197035,2006832.8736775182,0,-52888.71099655474,200683.28736775182,1806149.5863097664,1806149.5863097664,0.0,Not Update,9.0,0,End of Day,200683.28736775182
