Date,Today Price,Date
2015-03-26,37.294998,2015-03-26
2015-03-27,37.709999,2015-03-27
2015-03-30,37.529999,2015-03-30
2015-03-31,37.610001,2015-03-31
2015-04-01,38.040001,2015-04-01
2015-04-02,37.639999,2015-04-02
2015-04-06,37.439999,2015-04-06
2015-04-07,37.775002,2015-04-07
2015-04-08,37.685001,2015-04-08
2015-04-09,37.275002,2015-04-09
2015-04-10,37.330002,2015-04-10
2015-04-13,37.384998,2015-04-13
2015-04-14,37.639999,2015-04-14
2015-04-15,37.605,2015-04-15
2015-04-16,37.494999,2015-04-16
2015-04-17,37.830002,2015-04-17
2015-04-20,37.52,2015-04-20
2015-04-21,37.369999,2015-04-21
2015-04-22,36.830002,2015-04-22
2015-04-23,36.98,2015-04-23
2015-04-24,37.25,2015-04-24
2015-04-27,37.200001,2015-04-27
2015-04-28,36.744999,2015-04-28
2015-04-29,36.305,2015-04-29
2015-04-30,36.415001,2015-04-30
2015-05-01,35.84,2015-05-01
2015-05-04,35.544998,2015-05-04
2015-05-05,35.59,2015-05-05
2015-05-06,34.945,2015-05-06
2015-05-07,35.345001,2015-05-07
2015-05-08,35.445,2015-05-08
2015-05-11,34.66,2015-05-11
2015-05-12,34.720001,2015-05-12
2015-05-13,34.5,2015-05-13
2015-05-14,34.57,2015-05-14
2015-05-15,35.205002,2015-05-15
2015-05-18,34.66,2015-05-18
2015-05-19,34.380001,2015-05-19
2015-05-20,34.470001,2015-05-20
2015-05-21,34.895,2015-05-21
2015-05-22,34.849998,2015-05-22
2015-05-26,35.474998,2015-05-26
2015-05-27,35.584999,2015-05-27
2015-05-28,35.395,2015-05-28
2015-05-29,35.509998,2015-05-29
2015-06-01,35.099998,2015-06-01
2015-06-02,34.68,2015-06-02
2015-06-03,34.099998,2015-06-03
2015-06-04,34.494999,2015-06-04
2015-06-05,34.119999,2015-06-05
2015-06-08,34.09,2015-06-08
2015-06-09,33.84,2015-06-09
2015-06-10,33.555,2015-06-10
2015-06-11,34.220001,2015-06-11
2015-06-12,34.205002,2015-06-12
2015-06-15,34.285,2015-06-15
2015-06-16,34.525002,2015-06-16
2015-06-17,34.310001,2015-06-17
2015-06-18,34.125,2015-06-18
2015-06-19,34.555,2015-06-19
2015-06-22,33.935001,2015-06-22
2015-06-23,33.720001,2015-06-23
2015-06-24,33.965,2015-06-24
2015-06-25,33.855,2015-06-25
2015-06-26,33.509998,2015-06-26
2015-06-29,34.325001,2015-06-29
2015-06-30,34.16,2015-06-30
2015-07-01,33.674999,2015-07-01
2015-07-02,33.759998,2015-07-02
2015-07-06,34.330002,2015-07-06
2015-07-07,34.59,2015-07-07
2015-07-08,34.895,2015-07-08
2015-07-09,34.244999,2015-07-09
2015-07-10,33.724998,2015-07-10
2015-07-13,33.619999,2015-07-13
2015-07-14,33.735001,2015-07-14
2015-07-15,34.084999,2015-07-15
2015-07-16,34.314999,2015-07-16
2015-07-17,34.439999,2015-07-17
2015-07-20,34.310001,2015-07-20
2015-07-21,34.525002,2015-07-21
2015-07-22,34.695,2015-07-22
2015-07-23,35.084999,2015-07-23
2015-07-24,35.195,2015-07-24
2015-07-27,35.375,2015-07-27
2015-07-28,35.119999,2015-07-28
2015-07-29,35.0,2015-07-29
2015-07-30,35.235001,2015-07-30
2015-07-31,35.494999,2015-07-31
2015-08-03,35.779999,2015-08-03
2015-08-04,35.505001,2015-08-04
2015-08-05,35.255001,2015-08-05
2015-08-06,35.509998,2015-08-06
2015-08-07,35.965,2015-08-07
2015-08-10,35.535,2015-08-10
2015-08-11,36.064999,2015-08-11
2015-08-12,35.880001,2015-08-12
2015-08-13,35.775002,2015-08-13
2015-08-14,35.855,2015-08-14
2015-08-17,36.005001,2015-08-17
2015-08-18,35.759998,2015-08-18
2015-08-19,36.064999,2015-08-19
2015-08-20,36.395,2015-08-20
2015-08-21,36.529999,2015-08-21
2015-08-24,36.59,2015-08-24
2015-08-25,35.959999,2015-08-25
2015-08-26,35.314999,2015-08-26
2015-08-27,35.314999,2015-08-27
2015-08-28,35.43,2015-08-28
2015-08-31,35.200001,2015-08-31
2015-09-01,35.334999,2015-09-01
2015-09-02,35.099998,2015-09-02
2015-09-03,35.240002,2015-09-03
2015-09-04,35.514999,2015-09-04
2015-09-08,35.029999,2015-09-08
2015-09-09,35.200001,2015-09-09
2015-09-10,34.985001,2015-09-10
2015-09-11,35.185001,2015-09-11
2015-09-14,35.240002,2015-09-14
2015-09-15,34.59,2015-09-15
2015-09-16,34.485001,2015-09-16
2015-09-17,34.884998,2015-09-17
2015-09-18,35.360001,2015-09-18
2015-09-21,34.845001,2015-09-21
2015-09-22,35.310001,2015-09-22
2015-09-23,35.285,2015-09-23
2015-09-24,35.509998,2015-09-24
2015-09-25,35.25,2015-09-25
2015-09-28,35.790001,2015-09-28
2015-09-29,35.900002,2015-09-29
2015-09-30,35.755001,2015-09-30
2015-10-01,35.845001,2015-10-01
2015-10-02,36.084999,2015-10-02
2015-10-05,35.605,2015-10-05
2015-10-06,35.759998,2015-10-06
2015-10-07,35.665001,2015-10-07
2015-10-08,35.349998,2015-10-08
2015-10-09,35.43,2015-10-09
2015-10-12,35.700001,2015-10-12
2015-10-13,35.75,2015-10-13
2015-10-14,36.044998,2015-10-14
2015-10-15,35.880001,2015-10-15
2015-10-16,35.880001,2015-10-16
2015-10-19,35.799999,2015-10-19
2015-10-20,35.595001,2015-10-20
2015-10-21,35.895,2015-10-21
2015-10-22,35.965,2015-10-22
2015-10-23,35.685001,2015-10-23
2015-10-26,35.900002,2015-10-26
2015-10-27,35.970001,2015-10-27
2015-10-28,35.84,2015-10-28
2015-10-29,35.325001,2015-10-29
2015-10-30,35.564999,2015-10-30
2015-11-02,35.310001,2015-11-02
2015-11-03,35.040001,2015-11-03
2015-11-04,35.09,2015-11-04
2015-11-05,34.985001,2015-11-05
2015-11-06,34.509998,2015-11-06
2015-11-09,34.34,2015-11-09
2015-11-10,34.424999,2015-11-10
2015-11-11,34.384998,2015-11-11
2015-11-12,34.514999,2015-11-12
2015-11-13,34.705002,2015-11-13
2015-11-16,34.68,2015-11-16
2015-11-17,34.740002,2015-11-17
2015-11-18,34.785,2015-11-18
2015-11-19,34.990002,2015-11-19
2015-11-20,34.884998,2015-11-20
2015-11-23,34.990002,2015-11-23
2015-11-24,34.98,2015-11-24
2015-11-25,35.075001,2015-11-25
2015-11-27,35.055,2015-11-27
2015-11-30,35.18,2015-11-30
2015-12-01,35.560001,2015-12-01
2015-12-02,35.555,2015-12-02
2015-12-03,34.634998,2015-12-03
2015-12-04,34.935001,2015-12-04
2015-12-07,35.264999,2015-12-07
2015-12-08,35.279999,2015-12-08
2015-12-09,35.255001,2015-12-09
2015-12-10,35.279999,2015-12-10
2015-12-11,35.810001,2015-12-11
2015-12-14,35.34,2015-12-14
2015-12-15,35.154999,2015-12-15
2015-12-16,35.075001,2015-12-16
2015-12-17,35.465,2015-12-17
2015-12-18,35.645,2015-12-18
2015-12-21,35.630001,2015-12-21
2015-12-22,35.384998,2015-12-22
2015-12-23,35.134998,2015-12-23
2015-12-24,35.349998,2015-12-24
2015-12-28,35.435001,2015-12-28
2015-12-29,34.825001,2015-12-29
2015-12-30,34.775002,2015-12-30
2015-12-31,34.939999,2015-12-31
2016-01-04,35.154999,2016-01-04
2016-01-05,35.014999,2016-01-05
2016-01-06,35.459999,2016-01-06
2016-01-07,35.529999,2016-01-07
2016-01-08,35.685001,2016-01-08
2016-01-11,35.325001,2016-01-11
2016-01-12,35.759998,2016-01-12
2016-01-13,36.125,2016-01-13
2016-01-14,35.834999,2016-01-14
2016-01-15,36.360001,2016-01-15
2016-01-19,36.244999,2016-01-19
2016-01-20,36.584999,2016-01-20
2016-01-21,36.365002,2016-01-21
2016-01-22,36.235001,2016-01-22
2016-01-25,36.41,2016-01-25
2016-01-26,36.43,2016-01-26
2016-01-27,36.43,2016-01-27
2016-01-28,36.48,2016-01-28
2016-01-29,36.77,2016-01-29
2016-02-01,36.619999,2016-02-01
2016-02-02,37.215,2016-02-02
2016-02-03,36.974998,2016-02-03
2016-02-04,37.099998,2016-02-04
2016-02-05,37.185001,2016-02-05
2016-02-08,37.880001,2016-02-08
2016-02-09,37.955002,2016-02-09
2016-02-10,38.275002,2016-02-10
2016-02-11,38.549999,2016-02-11
2016-02-12,37.919998,2016-02-12
2016-02-16,37.575001,2016-02-16
2016-02-17,37.355,2016-02-17
